,source,target,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
75,Purkinje_fibers,intermediate_CM,Ligand,Receptor,S100A1,RYR2,129.71933
76,vCM_4,intermediate_CM,Ligand,Receptor,S100A1,RYR2,129.7071
77,damaged_CM,intermediate_CM,Ligand,Receptor,S100A1,RYR2,129.70023
78,vCM_3,intermediate_CM,Ligand,Receptor,S100A1,RYR2,129.69377
79,vCM_4,intermediate_CM,Ligand,Receptor,CALM3,RYR2,129.69147
80,intermediate_CM,vCM_4,Ligand,Receptor,CALM1,RYR2,106.23216
81,healthy_CM,vCM_4,Ligand,Receptor,CALM1,RYR2,106.142494
82,vCM_4,vCM_4,Ligand,Receptor,CALM1,RYR2,106.06522
83,damaged_CM,vCM_4,Ligand,Receptor,CALM1,RYR2,106.05744
84,Pericyte_2,vCM_4,Ligand,Receptor,CALM1,RYR2,106.04408
85,Endocardial_Endo,vCM_4,Ligand,Receptor,CALM1,RYR2,106.03628
86,Capillary_Endo,vCM_4,Ligand,Receptor,CALM1,RYR2,106.009636
87,vCM_3,vCM_4,Ligand,Receptor,CALM1,RYR2,105.99764
88,Arterial_Endo,vCM_4,Ligand,Receptor,CALM1,RYR2,105.98264
89,prolif,vCM_4,Ligand,Receptor,CALM1,RYR2,105.96474
90,perivascular_fibroblasts,vCM_4,Ligand,Receptor,CALM1,RYR2,105.95215
91,Venous_Endo,vCM_4,Ligand,Receptor,CALM1,RYR2,105.952065
92,NK_T,vCM_4,Ligand,Receptor,CALM1,RYR2,105.94643
93,Purkinje_fibers,vCM_4,Ligand,Receptor,CALM1,RYR2,105.94439
94,Adipo,vCM_4,Ligand,Receptor,CALM1,RYR2,105.94371
95,Fib_SCARA5,vCM_4,Ligand,Receptor,CALM1,RYR2,105.93944
96,Neuronal,vCM_4,Ligand,Receptor,CALM1,RYR2,105.938614
97,Myofib,vCM_4,Ligand,Receptor,CALM1,RYR2,105.93366
98,Fib_0,vCM_4,Ligand,Receptor,CALM1,RYR2,105.93131
99,intermediate_CM,vCM_4,Ligand,Receptor,S100A1,RYR2,105.92883
100,CD4,vCM_4,Ligand,Receptor,CALM1,RYR2,105.92237
101,vSMCs_1,vCM_4,Ligand,Receptor,CALM1,RYR2,105.921684
102,Mast,vCM_4,Ligand,Receptor,CALM1,RYR2,105.91959
103,LYVE_FOLR_Macrophages,vCM_4,Ligand,Receptor,CALM1,RYR2,105.91721
104,CD8,vCM_4,Ligand,Receptor,CALM1,RYR2,105.91681
105,Lymphatic_Endo,vCM_4,Ligand,Receptor,CALM1,RYR2,105.916115
106,NK,vCM_4,Ligand,Receptor,CALM1,RYR2,105.91491
107,Monocytes,vCM_4,Ligand,Receptor,CALM1,RYR2,105.90936
